year,water_sector_id,matrix,backward_linkage,forward_linkage,n_commodities,n_industries,inv_method_cc,inv_method_ii
1997,14,T_cc,1.770393366,1.086436172,176,174,inv,inv
1998,14,T_cc,1.792874223,1.092172244,176,174,inv,inv
1999,14,T_cc,1.802050686,1.085747287,176,174,inv,inv
2000,14,T_cc,1.797370753,1.084829762,176,174,inv,inv
2001,14,T_cc,1.783982365,1.087691153,176,174,inv,inv
2002,14,T_cc,1.776115442,1.060652276,176,174,inv,inv
2003,14,T_cc,1.759067547,1.074857335,176,174,inv,inv
2004,14,T_cc,1.755075379,1.097249295,176,174,inv,inv
2005,14,T_cc,1.750371248,1.124598483,176,174,inv,inv
2006,14,T_cc,1.744614562,1.144785692,176,174,inv,inv
2007,14,T_cc,1.747336102,1.150164241,176,174,inv,inv
2008,14,T_cc,1.697315428,1.175123794,176,174,inv,inv
2009,14,T_cc,1.693814359,1.229880477,176,174,inv,inv
2010,14,T_cc,1.688772404,1.243627614,176,174,inv,inv
2011,14,T_cc,1.691160244,1.246368596,176,174,inv,inv
2012,14,T_cc,1.714031637,1.254479054,176,174,inv,inv
2013,14,T_cc,1.718285979,1.266495461,176,174,inv,inv
2014,14,T_cc,1.735339775,1.277939965,176,174,inv,inv
2015,14,T_cc,1.764919463,1.292175666,176,174,inv,inv
2016,14,T_cc,1.768018589,1.301097059,176,174,inv,inv
2017,14,T_cc,1.757490979,1.294369925,176,174,inv,inv
2018,14,T_cc,1.74916686,1.292399498,176,174,inv,inv
2019,14,T_cc,1.745588245,1.284787781,176,174,inv,inv
2020,14,T_cc,1.730787641,1.273469584,176,174,inv,inv
2021,14,T_cc,1.727548019,1.256044844,176,174,inv,inv
2022,14,T_cc,1.738797031,1.272472411,176,174,inv,inv
2023,14,T_cc,1.731010807,1.263553111,176,174,inv,inv
2024,14,T_cc,1.716733448,1.263405085,176,174,inv,inv