year,water_sector_id,backward_linkage_Tcc_colsum,forward_linkage_Tcc_rowsum,extraction_total_Tcc,extraction_total_Tii,influence_pct_param,influence_pct_total_commodity_output_waterind,influence_pct_total_industry_output_waterind,influence_delta_total_commodity_output_waterind,influence_delta_total_industry_output_waterind,influence_pct_total_commodity_output_crop,influence_pct_total_industry_output_crop,influence_delta_total_commodity_output_crop,influence_delta_total_industry_output_crop,influence_pct_total_commodity_output_semi,influence_pct_total_industry_output_semi,influence_delta_total_commodity_output_semi,influence_delta_total_industry_output_semi,n_commodities,n_industries
1997,14,1.7703933658579567,1.086436171529388,53958.99022911777,12623.338970633999,0.1,3.4716418010689584e-05,3.4716418013254095e-05,8.150586585324163,8.150586585926249,0.00019500337380568285,0.00019500337381966561,45.78213922139548,45.7821392246783,4.349061024809627e-06,4.3490610346802745e-06,1.0210557562895701,1.0210557586069626,176,174
1998,14,1.792874223466066,1.092172244194145,57365.952538075486,13349.191018348314,0.1,3.532882239715993e-05,3.5328822402385326e-05,8.682510202421327,8.682510203705533,0.00019602950990090613,0.00019602950990499175,48.17676062214559,48.176760623149676,5.0593479031426825e-06,5.0593479076427365e-06,1.2433994910106776,1.2433994921166232,176,174
1999,14,1.802050685553892,1.085747286543629,58177.00046064096,13913.408350232336,0.1,3.0469668959453064e-05,3.0469668956636374e-05,7.811789603129,7.811789602406861,0.0001709854004091543,0.00017098540038950843,43.8371015773273,43.83710157229052,5.549373820399351e-06,5.549373800498105e-06,1.422744066296218,1.4227440611939528,176,174
2000,14,1.797370753096079,1.0848297616782756,57573.328098198515,14371.061230517444,0.1,3.006583128674884e-05,3.006583129674082e-05,8.004748912214382,8.004748914874654,0.000179345210943189,0.0001793452109603137,47.7490001362803,47.7490001408396,7.596564539780219e-06,7.596564544600281e-06,2.0225148992694812,2.0225149005527783,176,174
2001,14,1.7839823645719015,1.0876911534806764,57611.165316747516,14505.712108273474,0.1,2.921917126112078e-05,2.9219171276372228e-05,7.773011630116343,7.773011634173599,0.0001640701152144595,0.00016407011522964258,43.64664905515201,43.64664905919108,6.847519764171282e-06,6.847519788896331e-06,1.8216071321357958,1.8216071387132615,176,174
2002,14,1.776115441821689,1.060652275641095,54853.85381749757,14033.285029767107,0.1,2.4425888347773354e-05,2.4425888364079054e-05,6.547792814591048,6.54779281896208,0.00012395670058328566,0.00012395670057609298,33.22879323132747,33.22879322939934,5.186140291677304e-06,5.186140316434416e-06,1.3902369344286853,1.3902369410652682,176,174
2003,14,1.759067546932075,1.0748573347499832,56161.07819623168,14339.445559108834,0.1,3.210341771331461e-05,3.210341772369459e-05,8.776261395627444,8.776261398465067,0.00016795481002152064,0.0001679548100334244,45.91459166637196,45.914591669626134,7.559640300484789e-06,7.559640288917102e-06,2.0666142130548906,2.0666142098925775,176,174
2004,14,1.755075379496727,1.0972492949182497,58895.073777822654,14814.199778215641,0.1,4.086532833376471e-05,4.086532833300003e-05,11.567727902654042,11.567727902437582,0.0002328692023629097,0.00023286920236110405,65.91816778862176,65.91816778811062,1.058128609225733e-05,1.0581286107538232e-05,2.9952393230678354,2.995239327393392,176,174
2005,14,1.750371247560728,1.1245984828535152,62814.959116809434,15455.566675351083,0.1,5.22562763062249e-05,5.2256276331641646e-05,15.351891445259753,15.351891452726704,0.0002763544030649051,0.00027635440306592057,81.1876217779145,81.18762177821282,1.3941498563216418e-05,1.3941498551922843e-05,4.095744811063923,4.095744807746087,176,174
2006,14,1.7446145616460897,1.144785692289193,66655.35784425223,16388.508031444646,0.1,6.140935544690878e-05,6.140935543546144e-05,18.408445831171775,18.408445827740252,0.0003078012336410544,0.0003078012336434936,92.26838964541548,92.26838964614672,1.6003458079544148e-05,1.6003458079265017e-05,4.79729495652191,4.797294956438236,176,174
2007,14,1.7473361016421478,1.1501642410721262,67949.64920897869,16754.111153330254,0.1,6.12691092910873e-05,6.126910927988452e-05,18.712637371616893,18.712637368195374,0.0002951976151115436,0.0002951976151198578,90.1584173242095,90.1584173267488,1.7848000222648945e-05,1.7848000191415483e-05,5.451085544400939,5.451085534861704,176,174
2008,14,1.6973154277308926,1.1751237944613027,68715.391837403,16728.794853413343,0.1,6.416929122830863e-05,6.416929123288532e-05,19.338213962902046,19.338213964281294,0.000366827080790484,0.00036682708081919814,110.54790289757284,110.54790290622623,2.164148149240239e-05,2.1641481495921308e-05,6.521929595345682,6.521929596406153,176,174
2009,14,1.693814358975704,1.2298804772249468,76695.38171987164,17067.053930581955,0.1,8.202810340396465e-05,8.202810340076096e-05,23.4033095583909,23.40330955747686,0.0005612819851687164,0.0005612819851359159,160.13848307282387,160.13848306346563,2.1876054866697657e-05,2.1876054866790102e-05,6.241422911369227,6.241422911395603,176,174
2010,14,1.688772404300448,1.2436276135930528,79783.24524690419,17337.337653453065,0.1,7.90360251880572e-05,7.903602520078777e-05,23.218370976236656,23.2183709799765,0.0006411675046849182,0.0006411675046913642,188.35543597063224,188.3554359725258,2.5048387429026636e-05,2.5048387429652028e-05,7.358451418828736,7.358451419012454,176,174
2011,14,1.6911602444842804,1.2463685957372352,81004.19798488979,17578.295777625157,0.1,7.561305941021272e-05,7.561305941442504e-05,22.66856166414027,22.668561665403104,0.0006051171231589824,0.0006051171231608224,181.4122444899226,181.41224449047422,2.6286844245048896e-05,2.628684425214776e-05,7.880714712147437,7.880714714275655,176,174
2012,14,1.7140316373226914,1.254479053691,84059.6867034682,17224.95009938762,0.1,6.979799112173615e-05,6.97979911425689e-05,21.46120861085933,21.4612086172649,0.0005951561885694651,0.0005951561885498324,182.99625696470207,182.99625695866553,2.4388207534061036e-05,2.4388207537225287e-05,7.4987890213135415,7.4987890222864735,176,174
2013,14,1.7182859794780856,1.266495461050345,87206.73072748003,17213.720249325965,0.1,6.956193747727552e-05,6.95619375083143e-05,21.849533322641946,21.849533332391275,0.0007399861239593915,0.0007399861239746483,232.4310112699959,232.43101127478803,2.423061226747227e-05,2.4230612273360362e-05,7.610880164732407,7.610880166581865,176,174
2014,14,1.7353397751681765,1.2779399652632153,92144.5241497416,17948.812081302713,0.1,6.960702465839422e-05,6.960702465643207e-05,22.50414204575236,22.504142045117987,0.0008285726722198614,0.0008285726722114489,267.87981819900597,267.8798181962861,2.4581365234797993e-05,2.4581365256729207e-05,7.9472228217946395,7.94722282888506,176,174
2015,14,1.764919463473762,1.2921756657813084,98165.0942302306,18200.507376735568,0.1,7.821489375732913e-05,7.821489374282548e-05,25.904219236254903,25.904219231451407,0.0009427159646523824,0.0009427159646400438,312.2208552969432,312.22085529285687,2.468782391501465e-05,2.4687823916439878e-05,8.176432549340007,8.176432549812034,176,174
2016,14,1.7680185894848717,1.3010970585173243,100867.06304542645,17818.6896070533,0.1,7.463257302876571e-05,7.463257302243682e-05,25.161029564886576,25.1610295627529,0.0010852709425117999,0.0010852709425339037,365.87957727153434,365.8795772789863,2.3802010941184248e-05,2.3802010929977836e-05,8.024419857051726,8.024419853273685,176,174
2017,14,1.7574909787313506,1.294369925413519,100774.26894130712,17101.84699578702,0.1,6.699292910276216e-05,6.699292911186814e-05,23.091210566396512,23.09121056953518,0.0010748989929953553,0.0010748989929968322,370.49759306374244,370.49759306425153,2.2814247844229476e-05,2.281424785616477e-05,7.863644834471643,7.863644838585515,176,174
2018,14,1.74916686047634,1.2923994975337094,101585.92426786493,17169.812282038452,0.1,6.518811640490027e-05,6.518811638233462e-05,23.117561840630515,23.1175618326281,0.001019124594431809,0.0010191245944270188,361.41059343929487,361.41059343759616,2.2623715138898556e-05,2.2623715131169363e-05,8.023013436065185,8.023013433324195,176,174
2019,14,1.745588244700908,1.2847877810468826,101076.85656083425,16715.172380339398,0.1,6.316200531868317e-05,6.31620053253309e-05,22.81536301623987,22.815363018641165,0.0009352990620602658,0.0009352990620367693,337.84848220044637,337.84848219195896,2.2230334627433014e-05,2.223033463266635e-05,8.03003565099516,8.030035652885545,176,174
2020,14,1.7307876411493441,1.2734695838527232,95425.898745746,16083.866377600252,0.1,6.0505451548899316e-05,6.050545155793536e-05,21.156625061014893,21.156625064174477,0.0010224063129885587,0.0010224063130105546,357.499472695152,357.49947270284315,2.2068827998229828e-05,2.2068828006719646e-05,7.71669176152227,7.716691764490861,176,174
2021,14,1.7275480189847279,1.2560448439046106,93935.38474828255,16480.7843529773,0.1,5.139464205949373e-05,5.139464205177029e-05,19.220010436424218,19.22001043353589,0.0009044721627783678,0.0009044721627752732,338.2446829366372,338.2446829354799,2.029671448534951e-05,2.0296714495249593e-05,7.590344997090597,7.590345000792922,176,174
2022,14,1.7387970305434148,1.2724724106497058,99400.27861598792,16964.992945653892,0.1,5.0822188906888554e-05,5.082218891027094e-05,19.630654098711602,19.63065410001809,0.0007980255599010553,0.0007980255598952545,308.246536902406,308.24653690016544,2.1943770145171574e-05,2.1943770131700853e-05,8.476033217119266,8.476033211916047,176,174
2023,14,1.7310108066227672,1.2635531108648825,98665.88274785993,16387.856620219078,0.1,5.441174875910846e-05,5.44117487907576e-05,21.527908790367746,21.52790880288967,0.0008390198202495457,0.0008390198202688897,331.9566559716452,331.9566559792986,2.1372090253774145e-05,2.1372090286579548e-05,8.455828385147015,8.455828398126414,176,174
2024,14,1.7167334475895724,1.2634050852600844,99396.64080464732,16493.26572291256,0.1,4.963925190668902e-05,4.9639251914738754e-05,20.057275583082628,20.05727558633521,0.0008350518543914713,0.0008350518543824836,337.411716058456,337.4117160548244,2.099133003278193e-05,2.099133002877198e-05,8.481773498810753,8.481773497190488,176,174
